"msa","pmsa","county","state","county_fips","state_fips"
NA,NA,"Aleutians East","AK",13,2
NA,NA,"Aleutians West","AK",16,2
380,NA,"Anchorage","AK",20,2
NA,NA,"Bethel","AK",50,2
NA,NA,"Bristol Bay","AK",60,2
NA,NA,"Denali","AK",68,2
NA,NA,"Dillingham","AK",70,2
NA,NA,"Fairbanks North Star","AK",90,2
NA,NA,"Haines","AK",100,2
NA,NA,"Juneau","AK",110,2
NA,NA,"Kenai Peninsula","AK",122,2
NA,NA,"Ketchikan Gateway","AK",130,2
NA,NA,"Kodiak Island","AK",150,2
NA,NA,"Lake and Peninsula","AK",164,2
NA,NA,"Matanuska-Susitna","AK",170,2
NA,NA,"Nome","AK",180,2
NA,NA,"North Slope","AK",185,2
NA,NA,"Northwest Arctic","AK",188,2
NA,NA,"Prince of Wales-Outer Ketchika","Prince of Wales-Outer Ketchika",201,2
NA,NA,"Sitka","AK",220,2
NA,NA,"Skagway-Hoonah-Angoon","AK",232,2
NA,NA,"Southeast Fairbanks","AK",240,2
NA,NA,"Valdez-Cordova","AK",261,2
NA,NA,"Wade Hampton","AK",270,2
NA,NA,"Wrangell-Petersburg","AK",280,2
NA,NA,"Yakutat","AK",282,2
NA,NA,"Yukon-Koyukuk","AK",290,2
5240,NA,"Autauga","AL",1,1
5160,NA,"Baldwin","AL",3,1
NA,NA,"Barbour","AL",5,1
NA,NA,"Bibb","AL",7,1
1000,NA,"Blount","AL",9,1
NA,NA,"Bullock","AL",11,1
NA,NA,"Butler","AL",13,1
450,NA,"Calhoun","AL",15,1
NA,NA,"Chambers","AL",17,1
NA,NA,"Cherokee","AL",19,1
NA,NA,"Chilton","AL",21,1
NA,NA,"Choctaw","AL",23,1
NA,NA,"Clarke","AL",25,1
NA,NA,"Clay","AL",27,1
NA,NA,"Cleburne","AL",29,1
NA,NA,"Coffee","AL",31,1
2650,NA,"Colbert","AL",33,1
NA,NA,"Conecuh","AL",35,1
NA,NA,"Coosa","AL",37,1
NA,NA,"Covington","AL",39,1
NA,NA,"Crenshaw","AL",41,1
NA,NA,"Cullman","AL",43,1
2180,NA,"Dale","AL",45,1
NA,NA,"Dallas","AL",47,1
NA,NA,"De Kalb","AL",49,1
5240,NA,"Elmore","AL",51,1
NA,NA,"Escambia","AL",53,1
2880,NA,"Etowah","AL",55,1
NA,NA,"Fayette","AL",57,1
NA,NA,"Franklin","AL",59,1
NA,NA,"Geneva","AL",61,1
NA,NA,"Greene","AL",63,1
NA,NA,"Hale","AL",65,1
NA,NA,"Henry","AL",67,1
2180,NA,"Houston","AL",69,1
NA,NA,"Jackson","AL",71,1
1000,NA,"Jefferson","AL",73,1
NA,NA,"Lamar","AL",75,1
2650,NA,"Lauderdale","AL",77,1
2030,NA,"Lawrence","AL",79,1
NA,NA,"Lee","AL",81,1
3440,NA,"Limestone","AL",83,1
NA,NA,"Lowndes","AL",85,1
NA,NA,"Macon","AL",87,1
3440,NA,"Madison","AL",89,1
NA,NA,"Marengo","AL",91,1
NA,NA,"Marion","AL",93,1
NA,NA,"Marshall","AL",95,1
5160,NA,"Mobile","AL",97,1
NA,NA,"Monroe","AL",99,1
5240,NA,"Montgomery","AL",101,1
2030,NA,"Morgan","AL",103,1
NA,NA,"Perry","AL",105,1
NA,NA,"Pickens","AL",107,1
NA,NA,"Pike","AL",109,1
NA,NA,"Randolph","AL",111,1
1800,NA,"Russell","AL",113,1
1000,NA,"St. Clair","AL",115,1
1000,NA,"Shelby","AL",117,1
NA,NA,"Sumter","AL",119,1
NA,NA,"Talladega","AL",121,1
NA,NA,"Tallapoosa","AL",123,1
8600,NA,"Tuscaloosa","AL",125,1
NA,NA,"Walker","AL",127,1
NA,NA,"Washington","AL",129,1
NA,NA,"Wilcox","AL",131,1
NA,NA,"Winston","AL",133,1
NA,NA,"Apache","AZ",1,4
NA,NA,"Cochise","AZ",3,4
NA,NA,"Coconino","AZ",5,4
NA,NA,"Gila","AZ",7,4
NA,NA,"Graham","AZ",9,4
NA,NA,"Greenlee","AZ",11,4
NA,NA,"La Paz","AZ",12,4
6200,NA,"Maricopa","AZ",13,4
4120,NA,"Mohave","AZ",15,4
NA,NA,"Navajo","AZ",17,4
8520,NA,"Pima","AZ",19,4
6200,NA,"Pinal","AZ",21,4
NA,NA,"Santa Cruz","AZ",23,4
NA,NA,"Yavapai","AZ",25,4
9360,NA,"Yuma","AZ",27,4
NA,NA,"Arkansas","AR",1,5
NA,NA,"Ashley","AR",3,5
NA,NA,"Baxter","AR",5,5
2580,NA,"Benton","AR",7,5
NA,NA,"Boone","AR",9,5
NA,NA,"Bradley","AR",11,5
NA,NA,"Calhoun","AR",13,5
NA,NA,"Carroll","AR",15,5
NA,NA,"Chicot","AR",17,5
NA,NA,"Clark","AR",19,5
NA,NA,"Clay","AR",21,5
NA,NA,"Cleburne","AR",23,5
NA,NA,"Cleveland","AR",25,5
NA,NA,"Columbia","AR",27,5
NA,NA,"Conway","AR",29,5
NA,NA,"Craighead","AR",31,5
2720,NA,"Crawford","AR",33,5
4920,NA,"Crittenden","AR",35,5
NA,NA,"Cross","AR",37,5
NA,NA,"Dallas","AR",39,5
NA,NA,"Desha","AR",41,5
NA,NA,"Drew","AR",43,5
4400,NA,"Faulkner","AR",45,5
NA,NA,"Franklin","AR",47,5
NA,NA,"Fulton","AR",49,5
NA,NA,"Garland","AR",51,5
NA,NA,"Grant","AR",53,5
NA,NA,"Greene","AR",55,5
NA,NA,"Hempstead","AR",57,5
NA,NA,"Hot Spring","AR",59,5
NA,NA,"Howard","AR",61,5
NA,NA,"Independence","AR",63,5
NA,NA,"Izard","AR",65,5
NA,NA,"Jackson","AR",67,5
6240,NA,"Jefferson","AR",69,5
NA,NA,"Johnson","AR",71,5
NA,NA,"Lafayette","AR",73,5
NA,NA,"Lawrence","AR",75,5
NA,NA,"Lee","AR",77,5
NA,NA,"Lincoln","AR",79,5
NA,NA,"Little River","AR",81,5
NA,NA,"Logan","AR",83,5
4400,NA,"Lonoke","AR",85,5
NA,NA,"Madison","AR",87,5
NA,NA,"Marion","AR",89,5
8360,NA,"Miller","AR",91,5
NA,NA,"Mississippi","AR",93,5
NA,NA,"Monroe","AR",95,5
NA,NA,"Montgomery","AR",97,5
NA,NA,"Nevada","AR",99,5
NA,NA,"Newton","AR",101,5
NA,NA,"Ouachita","AR",103,5
NA,NA,"Perry","AR",105,5
NA,NA,"Phillips","AR",107,5
NA,NA,"Pike","AR",109,5
NA,NA,"Poinsett","AR",111,5
NA,NA,"Polk","AR",113,5
NA,NA,"Pope","AR",115,5
NA,NA,"Prairie","AR",117,5
4400,NA,"Pulaski","AR",119,5
NA,NA,"Randolph","AR",121,5
NA,NA,"St. Francis","AR",123,5
4400,NA,"Saline","AR",125,5
NA,NA,"Scott","AR",127,5
NA,NA,"Searcy","AR",129,5
2720,NA,"Sebastian","AR",131,5
NA,NA,"Sevier","AR",133,5
NA,NA,"Sharp","AR",135,5
NA,NA,"Stone","AR",137,5
NA,NA,"Union","AR",139,5
NA,NA,"Van Buren","AR",141,5
2580,NA,"Washington","AR",143,5
NA,NA,"White","AR",145,5
NA,NA,"Woodruff","AR",147,5
NA,NA,"Yell","AR",149,5
7362,5775,"Alameda","CA",1,6
NA,NA,"Alpine","CA",3,6
NA,NA,"Amador","CA",5,6
1620,NA,"Butte","CA",7,6
NA,NA,"Calaveras","CA",9,6
NA,NA,"Colusa","CA",11,6
7362,5775,"Contra Costa","CA",13,6
NA,NA,"Del Norte","CA",15,6
6922,6920,"El Dorado","CA",17,6
2840,NA,"Fresno","CA",19,6
NA,NA,"Glenn","CA",21,6
NA,NA,"Humboldt","CA",23,6
NA,NA,"Imperial","CA",25,6
NA,NA,"Inyo","CA",27,6
680,NA,"Kern","CA",29,6
NA,NA,"Kings","CA",31,6
NA,NA,"Lake","CA",33,6
NA,NA,"Lassen","CA",35,6
4472,4480,"Los Angeles","CA",37,6
2840,NA,"Madera","CA",39,6
7362,7360,"Marin","CA",41,6
NA,NA,"Mariposa","CA",43,6
NA,NA,"Mendocino","CA",45,6
4940,NA,"Merced","CA",47,6
NA,NA,"Modoc","CA",49,6
NA,NA,"Mono","CA",51,6
7120,NA,"Monterey","CA",53,6
7362,8720,"Napa","CA",55,6
NA,NA,"Nevada","CA",57,6
4472,5945,"Orange","CA",59,6
6922,6920,"Placer","CA",61,6
NA,NA,"Plumas","CA",63,6
4472,6780,"Riverside","CA",65,6
6922,6920,"Sacramento","CA",67,6
NA,NA,"San Benito","CA",69,6
4472,6780,"San Bernardino","CA",71,6
7320,NA,"San Diego","CA",73,6
7362,7360,"San Francisco","CA",75,6
8120,NA,"San Joaquin","CA",77,6
7460,NA,"San Luis Obispo","CA",79,6
7362,7360,"San Mateo","CA",81,6
7480,NA,"Santa Barbara","CA",83,6
7362,7400,"Santa Clara","CA",85,6
7362,7485,"Santa Cruz","CA",87,6
6690,NA,"Shasta","CA",89,6
NA,NA,"Sierra","CA",91,6
NA,NA,"Siskiyou","CA",93,6
7362,8720,"Solano","CA",95,6
7362,7500,"Sonoma","CA",97,6
5170,NA,"Stanislaus","CA",99,6
9340,NA,"Sutter","CA",101,6
NA,NA,"Tehama","CA",103,6
NA,NA,"Trinity","CA",105,6
8780,NA,"Tulare","CA",107,6
NA,NA,"Tuolumne","CA",109,6
4472,8735,"Ventura","CA",111,6
6922,9270,"Yolo","CA",113,6
9340,NA,"Yuba","CA",115,6
2082,2080,"Adams","CO",1,8
NA,NA,"Alamosa","CO",3,8
2082,2080,"Arapahoe","CO",5,8
NA,NA,"Archuleta","CO",7,8
NA,NA,"Baca","CO",9,8
NA,NA,"Bent","CO",11,8
2082,1125,"Boulder","CO",13,8
NA,NA,"Chaffee","CO",15,8
NA,NA,"Cheyenne","CO",17,8
NA,NA,"Clear Creek","CO",19,8
NA,NA,"Conejos","CO",21,8
NA,NA,"Costilla","CO",23,8
NA,NA,"Crowley","CO",25,8
NA,NA,"Custer","CO",27,8
NA,NA,"Delta","CO",29,8
2082,2080,"Denver","CO",31,8
NA,NA,"Dolores","CO",33,8
2082,2080,"Douglas","CO",35,8
NA,NA,"Eagle","CO",37,8
NA,NA,"Elbert","CO",39,8
1720,NA,"El Paso","CO",41,8
NA,NA,"Fremont","CO",43,8
NA,NA,"Garfield","CO",45,8
NA,NA,"Gilpin","CO",47,8
NA,NA,"Grand","CO",49,8
NA,NA,"Gunnison","CO",51,8
NA,NA,"Hinsdale","CO",53,8
NA,NA,"Huerfano","CO",55,8
NA,NA,"Jackson","CO",57,8
2082,2080,"Jefferson","CO",59,8
NA,NA,"Kiowa","CO",61,8
NA,NA,"Kit Carson","CO",63,8
NA,NA,"Lake","CO",65,8
NA,NA,"La Plata","CO",67,8
2670,NA,"Larimer","CO",69,8
NA,NA,"Las Animas","CO",71,8
NA,NA,"Lincoln","CO",73,8
NA,NA,"Logan","CO",75,8
NA,NA,"Mesa","CO",77,8
NA,NA,"Mineral","CO",79,8
NA,NA,"Moffat","CO",81,8
NA,NA,"Montezuma","CO",83,8
NA,NA,"Montrose","CO",85,8
NA,NA,"Morgan","CO",87,8
NA,NA,"Otero","CO",89,8
NA,NA,"Ouray","CO",91,8
NA,NA,"Park","CO",93,8
NA,NA,"Phillips","CO",95,8
NA,NA,"Pitkin","CO",97,8
NA,NA,"Prowers","CO",99,8
6560,NA,"Pueblo","CO",101,8
NA,NA,"Rio Blanco","CO",103,8
NA,NA,"Rio Grande","CO",105,8
NA,NA,"Routt","CO",107,8
NA,NA,"Saguache","CO",109,8
NA,NA,"San Juan","CO",111,8
NA,NA,"San Miguel","CO",113,8
NA,NA,"Sedgwick","CO",115,8
NA,NA,"Summit","CO",117,8
NA,NA,"Teller","CO",119,8
NA,NA,"Washington","CO",121,8
2082,3060,"Weld","CO",123,8
NA,NA,"Yuma","CO",125,8
5483,NA,"Fairfield","CT",1,9
3283,NA,"Hartford","CT",3,9
NA,NA,"Litchfield","CT",5,9
3283,NA,"Middlesex","CT",7,9
5483,NA,"New Haven","CT",9,9
5523,NA,"New London","CT",11,9
3283,NA,"Tolland","CT",13,9
NA,NA,"Windham","CT",15,9
8872,8840,"District of Columbia","District of Columbia",1,11
2190,NA,"Kent","DE",1,10
6162,9160,"New Castle","DE",3,10
NA,NA,"Sussex","DE",5,10
2900,NA,"Alachua","FL",1,12
NA,NA,"Baker","FL",3,12
6015,NA,"Bay","FL",5,12
NA,NA,"Bradford","FL",7,12
4900,NA,"Brevard","FL",9,12
4992,2680,"Broward","FL",11,12
NA,NA,"Calhoun","FL",13,12
6580,NA,"Charlotte","FL",15,12
NA,NA,"Citrus","FL",17,12
3600,NA,"Clay","FL",19,12
5345,NA,"Collier","FL",21,12
NA,NA,"Columbia","FL",23,12
4992,5000,"Dade","FL",25,12
NA,NA,"De Soto","FL",27,12
NA,NA,"Dixie","FL",29,12
3600,NA,"Duval","FL",31,12
6080,NA,"Escambia","FL",33,12
2020,NA,"Flagler","FL",35,12
NA,NA,"Franklin","FL",37,12
8240,NA,"Gadsden","FL",39,12
NA,NA,"Gilchrist","FL",41,12
NA,NA,"Glades","FL",43,12
NA,NA,"Gulf","FL",45,12
NA,NA,"Hamilton","FL",47,12
NA,NA,"Hardee","FL",49,12
NA,NA,"Hendry","FL",51,12
8280,NA,"Hernando","FL",53,12
NA,NA,"Highlands","FL",55,12
8280,NA,"Hillsborough","FL",57,12
NA,NA,"Holmes","FL",59,12
NA,NA,"Indian River","FL",61,12
NA,NA,"Jackson","FL",63,12
NA,NA,"Jefferson","FL",65,12
NA,NA,"Lafayette","FL",67,12
5960,NA,"Lake","FL",69,12
2700,NA,"Lee","FL",71,12
8240,NA,"Leon","FL",73,12
NA,NA,"Levy","FL",75,12
NA,NA,"Liberty","FL",77,12
NA,NA,"Madison","FL",79,12
7510,NA,"Manatee","FL",81,12
5790,NA,"Marion","FL",83,12
2710,NA,"Martin","FL",85,12
NA,NA,"Monroe","FL",87,12
3600,NA,"Nassau","FL",89,12
2750,NA,"Okaloosa","FL",91,12
NA,NA,"Okeechobee","FL",93,12
5960,NA,"Orange","FL",95,12
5960,NA,"Osceola","FL",97,12
8960,NA,"Palm Beach","FL",99,12
8280,NA,"Pasco","FL",101,12
8280,NA,"Pinellas","FL",103,12
3980,NA,"Polk","FL",105,12
NA,NA,"Putnam","FL",107,12
3600,NA,"St. Johns","FL",109,12
2710,NA,"St. Lucie","FL",111,12
6080,NA,"Santa Rosa","FL",113,12
7510,NA,"Sarasota","FL",115,12
5960,NA,"Seminole","FL",117,12
NA,NA,"Sumter","FL",119,12
NA,NA,"Suwannee","FL",121,12
NA,NA,"Taylor","FL",123,12
NA,NA,"Union","FL",125,12
2020,NA,"Volusia","FL",127,12
NA,NA,"Wakulla","FL",129,12
NA,NA,"Walton","FL",131,12
NA,NA,"Washington","FL",133,12
NA,NA,"Appling","GA",1,13
NA,NA,"Atkinson","GA",3,13
NA,NA,"Bacon","GA",5,13
NA,NA,"Baker","GA",7,13
NA,NA,"Baldwin","GA",9,13
NA,NA,"Banks","GA",11,13
520,NA,"Barrow","GA",13,13
520,NA,"Bartow","GA",15,13
NA,NA,"Ben Hill","GA",17,13
NA,NA,"Berrien","GA",19,13
4680,NA,"Bibb","GA",21,13
NA,NA,"Bleckley","GA",23,13
NA,NA,"Brantley","GA",25,13
NA,NA,"Brooks","GA",27,13
7520,NA,"Bryan","GA",29,13
NA,NA,"Bulloch","GA",31,13
NA,NA,"Burke","GA",33,13
NA,NA,"Butts","GA",35,13
NA,NA,"Calhoun","GA",37,13
NA,NA,"Camden","GA",39,13
NA,NA,"Candler","GA",43,13
520,NA,"Carroll","GA",45,13
1560,NA,"Catoosa","GA",47,13
NA,NA,"Charlton","GA",49,13
7520,NA,"Chatham","GA",51,13
1800,NA,"Chattahoochee","GA",53,13
NA,NA,"Chattooga","GA",55,13
520,NA,"Cherokee","GA",57,13
500,NA,"Clarke","GA",59,13
NA,NA,"Clay","GA",61,13
520,NA,"Clayton","GA",63,13
NA,NA,"Clinch","GA",65,13
520,NA,"Cobb","GA",67,13
NA,NA,"Coffee","GA",69,13
NA,NA,"Colquitt","GA",71,13
600,NA,"Columbia","GA",73,13
NA,NA,"Cook","GA",75,13
520,NA,"Coweta","GA",77,13
NA,NA,"Crawford","GA",79,13
NA,NA,"Crisp","GA",81,13
1560,NA,"Dade","GA",83,13
NA,NA,"Dawson","GA",85,13
NA,NA,"Decatur","GA",87,13
520,NA,"De Kalb","GA",89,13
NA,NA,"Dodge","GA",91,13
NA,NA,"Dooly","GA",93,13
120,NA,"Dougherty","GA",95,13
520,NA,"Douglas","GA",97,13
NA,NA,"Early","GA",99,13
NA,NA,"Echols","GA",101,13
7520,NA,"Effingham","GA",103,13
NA,NA,"Elbert","GA",105,13
NA,NA,"Emanuel","GA",107,13
NA,NA,"Evans","GA",109,13
NA,NA,"Fannin","GA",111,13
520,NA,"Fayette","GA",113,13
NA,NA,"Floyd","GA",115,13
520,NA,"Forsyth","GA",117,13
NA,NA,"Franklin","GA",119,13
520,NA,"Fulton","GA",121,13
NA,NA,"Gilmer","GA",123,13
NA,NA,"Glascock","GA",125,13
NA,NA,"Glynn","GA",127,13
NA,NA,"Gordon","GA",129,13
NA,NA,"Grady","GA",131,13
NA,NA,"Greene","GA",133,13
520,NA,"Gwinnett","GA",135,13
NA,NA,"Habersham","GA",137,13
NA,NA,"Hall","GA",139,13
NA,NA,"Hancock","GA",141,13
NA,NA,"Haralson","GA",143,13
1800,NA,"Harris","GA",145,13
NA,NA,"Hart","GA",147,13
NA,NA,"Heard","GA",149,13
520,NA,"Henry","GA",151,13
4680,NA,"Houston","GA",153,13
NA,NA,"Irwin","GA",155,13
NA,NA,"Jackson","GA",157,13
NA,NA,"Jasper","GA",159,13
NA,NA,"Jeff Davis","GA",161,13
NA,NA,"Jefferson","GA",163,13
NA,NA,"Jenkins","GA",165,13
NA,NA,"Johnson","GA",167,13
4680,NA,"Jones","GA",169,13
NA,NA,"Lamar","GA",171,13
NA,NA,"Lanier","GA",173,13
NA,NA,"Laurens","GA",175,13
120,NA,"Lee","GA",177,13
NA,NA,"Liberty","GA",179,13
NA,NA,"Lincoln","GA",181,13
NA,NA,"Long","GA",183,13
NA,NA,"Lowndes","GA",185,13
NA,NA,"Lumpkin","GA",187,13
NA,NA,"McDuffie","GA",189,13
NA,NA,"McIntosh","GA",191,13
NA,NA,"Macon","GA",193,13
500,NA,"Madison","GA",195,13
NA,NA,"Marion","GA",197,13
NA,NA,"Meriwether","GA",199,13
NA,NA,"Miller","GA",201,13
NA,NA,"Mitchell","GA",205,13
NA,NA,"Monroe","GA",207,13
NA,NA,"Montgomery","GA",209,13
NA,NA,"Morgan","GA",211,13
NA,NA,"Murray","GA",213,13
1800,NA,"Muscogee","GA",215,13
520,NA,"Newton","GA",217,13
500,NA,"Oconee","GA",219,13
NA,NA,"Oglethorpe","GA",221,13
520,NA,"Paulding","GA",223,13
4680,NA,"Peach","GA",225,13
520,NA,"Pickens","GA",227,13
NA,NA,"Pierce","GA",229,13
NA,NA,"Pike","GA",231,13
NA,NA,"Polk","GA",233,13
NA,NA,"Pulaski","GA",235,13
NA,NA,"Putnam","GA",237,13
NA,NA,"Quitman","GA",239,13
NA,NA,"Rabun","GA",241,13
NA,NA,"Randolph","GA",243,13
600,NA,"Richmond","GA",245,13
520,NA,"Rockdale","GA",247,13
NA,NA,"Schley","GA",249,13
NA,NA,"Screven","GA",251,13
NA,NA,"Seminole","GA",253,13
520,NA,"Spalding","GA",255,13
NA,NA,"Stephens","GA",257,13
NA,NA,"Stewart","GA",259,13
NA,NA,"Sumter","GA",261,13
NA,NA,"Talbot","GA",263,13
NA,NA,"Taliaferro","GA",265,13
NA,NA,"Tattnall","GA",267,13
NA,NA,"Taylor","GA",269,13
NA,NA,"Telfair","GA",271,13
NA,NA,"Terrell","GA",273,13
NA,NA,"Thomas","GA",275,13
NA,NA,"Tift","GA",277,13
NA,NA,"Toombs","GA",279,13
NA,NA,"Towns","GA",281,13
NA,NA,"Treutlen","GA",283,13
NA,NA,"Troup","GA",285,13
NA,NA,"Turner","GA",287,13
4680,NA,"Twiggs","GA",289,13
NA,NA,"Union","GA",291,13
NA,NA,"Upson","GA",293,13
1560,NA,"Walker","GA",295,13
520,NA,"Walton","GA",297,13
NA,NA,"Ware","GA",299,13
NA,NA,"Warren","GA",301,13
NA,NA,"Washington","GA",303,13
NA,NA,"Wayne","GA",305,13
NA,NA,"Webster","GA",307,13
NA,NA,"Wheeler","GA",309,13
NA,NA,"White","GA",311,13
NA,NA,"Whitfield","GA",313,13
NA,NA,"Wilcox","GA",315,13
NA,NA,"Wilkes","GA",317,13
NA,NA,"Wilkinson","GA",319,13
NA,NA,"Worth","GA",321,13
NA,NA,"Hawaii","HI",1,15
3320,NA,"Honolulu","HI",3,15
NA,NA,"Kalawao","HI",5,15
NA,NA,"Kauai","HI",7,15
NA,NA,"Maui","HI",9,15
NA,NA,"Adair","IA",1,19
NA,NA,"Adams","IA",3,19
NA,NA,"Allamakee","IA",5,19
NA,NA,"Appanoose","IA",7,19
NA,NA,"Audubon","IA",9,19
NA,NA,"Benton","IA",11,19
8920,NA,"Black Hawk","IA",13,19
NA,NA,"Boone","IA",15,19
NA,NA,"Bremer","IA",17,19
NA,NA,"Buchanan","IA",19,19
NA,NA,"Buena Vista","IA",21,19
NA,NA,"Butler","IA",23,19
NA,NA,"Calhoun","IA",25,19
NA,NA,"Carroll","IA",27,19
NA,NA,"Cass","IA",29,19
NA,NA,"Cedar","IA",31,19
NA,NA,"Cerro Gordo","IA",33,19
NA,NA,"Cherokee","IA",35,19
NA,NA,"Chickasaw","IA",37,19
NA,NA,"Clarke","IA",39,19
NA,NA,"Clay","IA",41,19
NA,NA,"Clayton","IA",43,19
NA,NA,"Clinton","IA",45,19
NA,NA,"Crawford","IA",47,19
2120,NA,"Dallas","IA",49,19
NA,NA,"Davis","IA",51,19
NA,NA,"Decatur","IA",53,19
NA,NA,"Delaware","IA",55,19
NA,NA,"Des Moines","IA",57,19
NA,NA,"Dickinson","IA",59,19
2200,NA,"Dubuque","IA",61,19
NA,NA,"Emmet","IA",63,19
NA,NA,"Fayette","IA",65,19
NA,NA,"Floyd","IA",67,19
NA,NA,"Franklin","IA",69,19
NA,NA,"Fremont","IA",71,19
NA,NA,"Greene","IA",73,19
NA,NA,"Grundy","IA",75,19
NA,NA,"Guthrie","IA",77,19
NA,NA,"Hamilton","IA",79,19
NA,NA,"Hancock","IA",81,19
NA,NA,"Hardin","IA",83,19
NA,NA,"Harrison","IA",85,19
NA,NA,"Henry","IA",87,19
NA,NA,"Howard","IA",89,19
NA,NA,"Humboldt","IA",91,19
NA,NA,"Ida","IA",93,19
NA,NA,"Iowa","IA",95,19
NA,NA,"Jackson","IA",97,19
NA,NA,"Jasper","IA",99,19
NA,NA,"Jefferson","IA",101,19
3500,NA,"Johnson","IA",103,19
NA,NA,"Jones","IA",105,19
NA,NA,"Keokuk","IA",107,19
NA,NA,"Kossuth","IA",109,19
NA,NA,"Lee","IA",111,19
1360,NA,"Linn","IA",113,19
NA,NA,"Louisa","IA",115,19
NA,NA,"Lucas","IA",117,19
NA,NA,"Lyon","IA",119,19
NA,NA,"Madison","IA",121,19
NA,NA,"Mahaska","IA",123,19
NA,NA,"Marion","IA",125,19
NA,NA,"Marshall","IA",127,19
NA,NA,"Mills","IA",129,19
NA,NA,"Mitchell","IA",131,19
NA,NA,"Monona","IA",133,19
NA,NA,"Monroe","IA",135,19
NA,NA,"Montgomery","IA",137,19
NA,NA,"Muscatine","IA",139,19
NA,NA,"O'Brien","IA",141,19
NA,NA,"Osceola","IA",143,19
NA,NA,"Page","IA",145,19
NA,NA,"Palo Alto","IA",147,19
NA,NA,"Plymouth","IA",149,19
NA,NA,"Pocahontas","IA",151,19
2120,NA,"Polk","IA",153,19
5920,NA,"Pottawattamie","IA",155,19
NA,NA,"Poweshiek","IA",157,19
NA,NA,"Ringgold","IA",159,19
NA,NA,"Sac","IA",161,19
1960,NA,"Scott","IA",163,19
NA,NA,"Shelby","IA",165,19
NA,NA,"Sioux","IA",167,19
NA,NA,"Story","IA",169,19
