SUMLEV,REGION,DIVISION,STATE,NAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,NPOPCHG_2020,NPOPCHG_2021,NPOPCHG_2022,NPOPCHG_2023,PPOPCHG_2020,PPOPCHG_2021,PPOPCHG_2022,PPOPCHG_2023,NRANK_ESTBASE2020,NRANK_POPEST2020,NRANK_POPEST2021,NRANK_POPEST2022,NRANK_POPEST2023,NRANK_NPCHG2020,NRANK_NPCHG2021,NRANK_NPCHG2022,NRANK_NPCHG2023,NRANK_PPCHG2020,NRANK_PPCHG2021,NRANK_PPCHG2022,NRANK_PPCHG2023
010,0,0,00,United States,331464948,331526933,332048977,333271411,334914895,61985,522044,1222434,1643484,0.0187003182,0.1574665428,0.3681487024,0.4931368085,X,X,X,X,X,X,X,X,X,X,X,X,X
020,1,0,00,Northeast Region,57614141,57430477,57243423,57026847,56983517,-183664,-187054,-216576,-43330,-0.318782849,-0.325705113,-0.378342155,-0.075981756,4,4,4,4,4,4,4,4,4,4,4,4,4
030,1,1,00,New England,15119994,15057898,15106108,15120739,15159777,-62096,48210,14631,39038,-0.410687994,0.3201642088,0.0968548616,0.2581752122,9,9,9,9,9,8,4,6,7,9,4,6,6
030,1,2,00,Middle Atlantic,42494147,42372579,42137315,41906108,41823740,-121568,-235264,-231207,-82368,-0.286081751,-0.555227002,-0.548698938,-0.196553686,4,4,4,4,5,9,8,9,9,8,8,9,9
020,2,0,00,Midwest Region,68987296,68969794,68850246,68783028,68909283,-17502,-119548,-67218,126255,-0.025369888,-0.173333851,-0.097629281,0.183555455,3,3,3,3,3,3,3,3,3,3,3,3,2
030,2,3,00,East North Central,47369629,47345074,47187461,47098310,47146039,-24555,-157613,-89151,47729,-0.051837011,-0.332902637,-0.188929428,0.1013390926,3,3,3,3,3,7,7,8,6,7,7,8,7
030,2,4,00,West North Central,21617667,21624720,21662785,21684718,21763244,7053,38065,21933,78526,0.0326260924,0.1760254006,0.1012473696,0.3621259912,7,7,7,7,7,5,6,5,5,5,6,5,5
020,3,0,00,South Region,126268529,126465281,127353282,128702030,130125290,196752,888001,1348748,1423260,0.1558202995,0.7021697916,1.0590602604,1.1058566831,1,1,1,1,1,1,1,1,1,1,1,1,1
030,3,5,00,South Atlantic,66091701,66174797,66673601,67445114,68225883,83096,498804,771513,780769,0.1257283422,0.7537673293,1.1571491391,1.1576361188,1,1,1,1,1,2,1,1,1,3,3,1,2
030,3,6,00,East South Central,19402683,19424519,19471271,19573370,19700801,21836,46752,102099,127431,0.1125411367,0.2406854965,0.5243571413,0.6510427177,8,8,8,8,8,4,5,4,4,4,5,4,4
030,3,7,00,West South Central,40774145,40865965,41208410,41683546,42198606,91820,342445,475136,515060,0.2251917238,0.8379711577,1.1530073594,1.2356434359,5,5,5,5,4,1,2,2,2,2,2,2,1
020,4,0,00,West Region,78594982,78661381,78602026,78759506,78896805,66399,-59355,157480,137299,0.0844824928,-0.075456341,0.2003510698,0.1743268933,2,2,2,2,2,2,2,2,2,2,2,2,3
030,4,8,00,Mountain,24925576,25004426,25277400,25522359,25716830,78850,272974,244959,194471,0.3163417367,1.0917027249,0.9690830544,0.7619632652,6,6,6,6,6,3,3,3,3,1,1,3,3
030,4,9,00,Pacific,53669406,53656955,53324626,53237147,53179975,-12451,-332329,-87479,-57172,-0.023199437,-0.619358665,-0.164049908,-0.107391179,2,2,2,2,2,6,9,7,8,6,9,7,8
040,3,6,01,Alabama,5024294,5031864,5050380,5073903,5108468,7570,18516,23523,34565,0.1506679346,0.3679749691,0.4657669324,0.6812309971,24,24,24,24,24,14,17,14,11,15,21,20,16
040,4,9,02,Alaska,733374,732964,734923,733276,733406,-410,1959,-1647,130,-0.055905991,0.267270971,-0.22410511,0.0177286588,48,48,48,48,48,34,30,34,43,36,25,41,43
040,4,8,04,Arizona,7157902,7186683,7272487,7365684,7431344,28781,85804,93197,65660,0.402087092,1.1939304962,1.2815010876,0.8914311285,14,14,14,14,14,3,4,5,7,2,6,8,12
040,3,7,05,Arkansas,3011490,3014348,3028443,3046404,3067732,2858,14095,17961,21328,0.0949031875,0.4675969729,0.5930770366,0.7001041228,33,33,33,33,33,21,22,17,19,21,19,17,15
040,4,9,06,California,39538212,39503200,39145060,39040616,38965193,-35012,-358140,-104444,-75423,-0.08855231,-0.906610097,-0.266812722,-0.193191112,1,1,1,1,1,49,51,49,50,41,50,42,46
040,4,8,08,Colorado,5773707,5785219,5811596,5841039,5877610,11512,26377,29443,36571,0.1993866332,0.455937796,0.5066250304,0.6261043626,21,21,21,21,21,10,12,12,9,11,20,19,18
040,1,1,09,Connecticut,3605912,3577586,3603691,3608706,3617176,-28326,26105,5015,8470,-0.785543297,0.7296819699,0.139162875,0.2347101703,29,29,29,29,29,48,13,25,30,50,13,27,33
040,3,5,10,Delaware,989946,991862,1004881,1019459,1031890,1916,13019,14578,12431,0.1935459106,1.3125817906,1.4507190404,1.2193722357,45,45,45,45,45,22,23,19,26,12,4,7,6
040,3,5,11,District of Columbia,689548,670839,669037,670949,678972,-18709,-1802,1912,8023,-2.713226635,-0.268618849,0.2857838954,1.195768978,49,49,49,49,49,46,39,29,31,51,41,22,7
040,3,5,12,Florida,21538216,21591299,21830708,22245521,22610726,53083,239409,414813,365205,0.2464595954,1.1088216601,1.9001353506,1.6417012665,3,3,3,3,3,2,2,2,2,9,8,1,2
040,3,5,13,Georgia,10713771,10732390,10790385,10913150,11029227,18619,57995,122765,116077,0.173785682,0.5403735794,1.137725855,1.0636434027,8,8,8,8,8,5,6,4,4,14,18,12,10
040,4,9,15,Hawaii,1455274,1451181,1446745,1439399,1435138,-4093,-4436,-7346,-4261,-0.281252877,-0.305682062,-0.507760524,-0.296026328,40,40,40,40,40,41,41,40,45,47,45,47,49
040,4,8,16,Idaho,1839117,1849339,1904537,1938996,1964726,10222,55198,34459,25730,0.5558102067,2.984742116,1.8093111344,1.3269754038,38,38,38,38,38,12,8,10,17,1,1,2,4
040,2,3,17,Illinois,12813469,12790357,12690341,12582515,12549689,-23112,-100016,-107826,-32826,-0.1803727,-0.7819641,-0.849669839,-0.26088584,6,6,6,6,6,47,49,50,49,46,49,50,48
040,2,3,18,Indiana,6785442,6789098,6813798,6832274,6862199,3656,24700,18476,29925,0.0538800567,0.3638185809,0.2711556756,0.4379947291,17,17,17,17,17,18,14,16,14,27,22,23,22
040,2,4,19,Iowa,3190427,3190904,3197944,3199693,3207004,477,7040,1749,7311,0.0149509768,0.2206271326,0.0546913892,0.2284906708,31,31,31,31,31,31,28,30,32,31,28,31,34
040,2,4,20,Kansas,2937835,2938124,2937946,2936716,2940546,289,-178,-1230,3830,0.009837176,-0.006058288,-0.041865984,0.1304177864,35,35,35,35,34,32,35,33,36,32,35,33,38
040,3,6,21,Kentucky,4506297,4508155,4507600,4511563,4526154,1858,-555,3963,14591,0.0412311927,-0.012311023,0.0879181826,0.3234134157,26,26,26,26,26,23,36,26,25,30,36,30,29
040,3,7,22,Louisiana,4657785,4652022,4627047,4588023,4573749,-5763,-24975,-39024,-14274,-0.123728339,-0.536863325,-0.843388883,-0.311114395,25,25,25,25,25,42,46,47,48,44,48,49,50
040,1,1,23,Maine,1363177,1364517,1378787,1389338,1395722,1340,14270,10551,6384,0.0982997806,1.0457912946,0.7652378504,0.4594994163,42,42,42,42,42,24,21,23,33,20,10,15,21
040,3,5,24,Maryland,6177253,6173689,6175045,6163981,6180253,-3564,1356,-11064,16272,-0.057695548,0.0219641773,-0.179172783,0.2639852394,18,18,18,19,19,40,32,44,24,38,34,40,32
040,1,1,25,Massachusetts,7032933,6997713,6991951,6982740,7001399,-35220,-5762,-9211,18659,-0.500786798,-0.082341188,-0.131737193,0.2672160212,15,15,15,16,16,50,42,42,22,49,39,38,31
040,2,3,26,Michigan,10077674,10070627,10038117,10033281,10037261,-7047,-32510,-4836,3980,-0.06992685,-0.322820019,-0.048176366,0.039667981,10,10,10,10,10,43,47,38,35,39,46,35,41
040,2,4,27,Minnesota,5706804,5710578,5717968,5714300,5737915,3774,7390,-3668,23615,0.0661315861,0.129408967,-0.064148663,0.4132614668,22,22,22,22,22,17,27,37,18,25,31,36,25
040,3,6,28,Mississippi,2961306,2958409,2949582,2938928,2939690,-2897,-8827,-10654,762,-0.097828458,-0.298369833,-0.361203723,0.0259278213,34,34,34,34,35,39,44,43,41,42,44,45,42
040,2,4,29,Missouri,6154889,6154426,6170393,6177168,6196156,-463,15967,6775,18988,-0.007522475,0.2594393043,0.1097985169,0.3073900532,19,19,19,18,18,35,20,24,21,33,26,29,30
040,4,8,30,Montana,1084244,1087211,1106366,1122878,1132812,2967,19155,16512,9934,0.2736468913,1.7618475163,1.4924536727,0.8846909459,44,44,43,43,43,20,16,18,28,6,2,6,13
040,2,4,31,Nebraska,1961965,1963273,1964253,1968060,1978379,1308,980,3807,10319,0.066667856,0.0499166443,0.193814137,0.5243234454,37,37,37,37,37,25,33,27,27,24,33,25,20
040,4,8,32,Nevada,3104617,3115840,3146632,3177421,3194176,11223,30792,30789,16755,0.3614938654,0.9882407312,0.9784747629,0.5273144478,32,32,32,32,32,11,10,11,23,4,11,13,19
040,1,1,33,New Hampshire,1377524,1378702,1387494,1399003,1402054,1178,8792,11509,3051,0.0855157514,0.6377012581,0.8294810644,0.2180838783,41,41,41,41,41,27,25,21,37,22,16,14,36
040,1,2,34,New Jersey,9289039,9272392,9269175,9260817,9290841,-16647,-3217,-8358,30024,-0.179211219,-0.034694392,-0.090169837,0.3242046571,11,11,11,11,11,45,40,41,13,45,37,37,28
040,4,8,35,New Mexico,2117525,2118488,2116950,2113476,2114371,963,-1538,-3474,895,0.0454776213,-0.072598948,-0.164104018,0.042347299,36,36,36,36,36,28,37,36,40,29,38,39,40
040,1,2,36,New York,20202320,20104710,19854526,19673200,19571216,-97610,-250184,-181326,-101984,-0.48316233,-1.244404918,-0.913272873,-0.518390501,4,4,4,4,4,51,50,51,51,48,51,51,51
040,3,5,37,North Carolina,10439459,10453812,10567100,10695965,10835491,14353,113288,128865,139526,0.1374879675,1.0837003765,1.219492576,1.3044732289,9,9,9,9,9,7,3,3,3,18,9,11,5
040,2,4,38,North Dakota,779079,779563,777982,778912,783926,484,-1581,930,5014,0.0621246369,-0.202805931,0.1195400408,0.6437184175,47,47,47,47,47,30,38,31,34,26,40,28,17
040,2,3,39,Ohio,11799331,11798292,11765227,11759697,11785935,-1039,-33065,-5530,26238,-0.008805584,-0.28025243,-0.047002918,0.2231179936,7,7,7,7,7,37,48,39,16,34,42,34,35
040,3,7,40,Oklahoma,3959411,3965234,3991634,4019271,4053824,5823,26400,27637,34553,0.147067329,0.665786685,0.6923730983,0.859683261,28,28,28,28,28,15,11,13,12,16,14,16,14
040,4,9,41,Oregon,4237279,4245044,4256465,4239379,4233358,7765,11421,-17086,-6021,0.1832543951,0.2690431477,-0.40141291,-0.142025518,27,27,27,27,27,13,24,46,46,13,24,46,45
040,1,2,42,Pennsylvania,13002788,12995477,13013614,12972091,12961683,-7311,18137,-41523,-10408,-0.056226403,0.1395639421,-0.319073549,-0.080233788,5,5,5,5,5,44,18,48,47,37,30,44,44
040,1,1,44,Rhode Island,1097371,1096444,1097092,1093842,1095962,-927,648,-3250,2120,-0.084474622,0.0591001456,-0.29623769,0.193812269,43,43,44,44,44,36,34,35,39,40,32,43,37
040,3,5,45,South Carolina,5118422,5132151,5193848,5282955,5373555,13729,61697,89107,90600,0.2682271997,1.202166499,1.7156258712,1.7149493039,23,23,23,23,23,8,5,6,5,7,5,3,1
040,2,4,46,South Dakota,886668,887852,896299,909869,919318,1184,8447,13570,9449,0.1335336338,0.951397305,1.5140036974,1.0385011469,46,46,46,46,46,26,26,20,29,19,12,5,11
040,3,6,47,Tennessee,6910786,6926091,6963709,7048976,7126489,15305,37618,85267,77513,0.2214654021,0.5431346484,1.2244480635,1.0996348973,16,16,16,15,15,6,9,7,6,10,17,10,8
040,3,7,48,Texas,29145459,29234361,29561286,30029848,30503301,88902,326925,468562,473453,0.3050286496,1.1182902202,1.5850528289,1.5766080468,2,2,2,2,2,1,1,1,1,5,7,4,3
040,4,8,49,Utah,3271614,3283982,3339284,3381236,3417734,12368,55302,41952,36498,0.3780397076,1.6839921778,1.2563172225,1.0794277596,30,30,30,30,30,9,7,9,10,3,3,9,9
040,1,1,50,Vermont,643077,642936,647093,647110,647464,-141,4157,17,354,-0.021925835,0.6465651325,0.002627134,0.0547047643,50,50,50,50,50,33,29,32,42,35,15,32,39
040,3,5,51,Virginia,8631373,8637193,8657348,8679099,8715698,5820,20155,21751,36599,0.0674284381,0.2333512751,0.2512432214,0.4216912378,12,12,12,12,12,16,15,15,8,23,27,24,23
040,4,9,53,Washington,7705267,7724566,7741433,7784477,7812880,19299,16867,43044,28403,0.250465039,0.2183553095,0.5560210881,0.3648671581,13,13,13,13,13,4,19,8,15,8,29,18,26
040,3,5,54,West Virginia,1793713,1791562,1785249,1774035,1770071,-2151,-6313,-11214,-3964,-0.11991885,-0.352374074,-0.62814767,-0.223445422,39,39,39,39,39,38,43,45,44,43,47,48,47
040,2,3,55,Wisconsin,5893713,5896700,5879978,5890543,5910955,2987,-16722,10565,20412,0.0506811241,-0.283582343,0.179677543,0.3465215346,20,20,20,20,20,19,45,22,20,28,43,26,27
040,4,8,56,Wyoming,576850,577664,579548,581629,584057,814,1884,2081,2428,0.1411112074,0.3261411478,0.3590729327,0.4174482359,51,51,51,51,51,29,31,28,38,17,23,21,24
040,X,X,72,Puerto Rico,3285874,3281557,3262693,3220113,3205691,-4317,-18864,-42580,-14422,-0.13138057,-0.574849073,-1.305056896,-0.447872481,X,X,X,X,X,X,X,X,X,X,X,X,X
