key,prop,val,,,,,,,,,,
RCDTS,observationAbout,{Data},measuredProperty,count,populationType,Student,assessmentType,DynamicLearningMaps,observationDate,2023,measurementDenominator,"-schoolSubject,-educationalAchievementLevel"
% Female students DLM Mathematics Approaching Target Grade 8,value,{Number},gender,Female,schoolSubject,Mathematics,educationalAchievementLevel,ApproachingTarget,schoolGradeLevel,SchoolGrade8,,
% Female students DLM Mathematics At Target Grade 8,value,{Number},gender,Female,schoolSubject,Mathematics,educationalAchievementLevel,AtTarget,schoolGradeLevel,SchoolGrade8,,
% Female students DLM Mathematics Advanced Grade 8,value,{Number},gender,Female,schoolSubject,Mathematics,educationalAchievementLevel,Advanced,schoolGradeLevel,SchoolGrade8,,
% Female students DLM Science Emerging Grade 8,value,{Number},gender,Female,schoolSubject,Science,educationalAchievementLevel,Emerging,schoolGradeLevel,SchoolGrade8,,
% Female students DLM Science Approaching Target Grade 8,value,{Number},gender,Female,schoolSubject,Science,educationalAchievementLevel,ApproachingTarget,schoolGradeLevel,SchoolGrade8,,
% Female students DLM Science At Target Grade 8,value,{Number},gender,Female,schoolSubject,Science,educationalAchievementLevel,AtTarget,schoolGradeLevel,SchoolGrade8,,
% Female students DLM Science Advanced Grade 8,value,{Number},gender,Female,schoolSubject,Science,educationalAchievementLevel,Advanced,schoolGradeLevel,SchoolGrade8,,
% White students DLM ELA Emerging Grade 8,value,{Number},race,White,schoolSubject,EnglishLanguageArts,educationalAchievementLevel,Emerging,schoolGradeLevel,SchoolGrade8,,
% White students DLM ELA Approaching Target Grade 8,value,{Number},race,White,schoolSubject,EnglishLanguageArts,educationalAchievementLevel,ApproachingTarget,schoolGradeLevel,SchoolGrade8,,
% White students DLM ELA At Target Grade 8,value,{Number},race,White,schoolSubject,EnglishLanguageArts,educationalAchievementLevel,AtTarget,schoolGradeLevel,SchoolGrade8,,
% White students DLM ELA Advanced Grade 8,value,{Number},race,White,schoolSubject,EnglishLanguageArts,educationalAchievementLevel,Advanced,schoolGradeLevel,SchoolGrade8,,
% White students DLM Mathematics Emerging Grade 8,value,{Number},race,White,schoolSubject,Mathematics,educationalAchievementLevel,Emerging,schoolGradeLevel,SchoolGrade8,,
% White students DLM Mathematics Approaching Target Grade 8,value,{Number},race,White,schoolSubject,Mathematics,educationalAchievementLevel,ApproachingTarget,schoolGradeLevel,SchoolGrade8,,
% White students DLM Mathematics At Target Grade 8,value,{Number},race,White,schoolSubject,Mathematics,educationalAchievementLevel,AtTarget,schoolGradeLevel,SchoolGrade8,,
% White students DLM Mathematics Advanced Grade 8,value,{Number},race,White,schoolSubject,Mathematics,educationalAchievementLevel,Advanced,schoolGradeLevel,SchoolGrade8,,
% White students DLM Science Emerging Grade 8,value,{Number},race,White,schoolSubject,Science,educationalAchievementLevel,Emerging,schoolGradeLevel,SchoolGrade8,,
% White students DLM Science Approaching Target Grade 8,value,{Number},race,White,schoolSubject,Science,educationalAchievementLevel,ApproachingTarget,schoolGradeLevel,SchoolGrade8,,
% White students DLM Science At Target Grade 8,value,{Number},race,White,schoolSubject,Science,educationalAchievementLevel,AtTarget,schoolGradeLevel,SchoolGrade8,,
% White students DLM Science Advanced Grade 8,value,{Number},race,White,schoolSubject,Science,educationalAchievementLevel,Advanced,schoolGradeLevel,SchoolGrade8,,
% Black or African American students DLM ELA Emerging Grade 8,value,{Number},race,BlackOrAfricanAmericanAlone,schoolSubject,EnglishLanguageArts,educationalAchievementLevel,Emerging,schoolGradeLevel,SchoolGrade8,,
% Black or African American students DLM ELA Approaching Target Grade 8,value,{Number},race,BlackOrAfricanAmericanAlone,schoolSubject,EnglishLanguageArts,educationalAchievementLevel,ApproachingTarget,schoolGradeLevel,SchoolGrade8,,
% Black or African American students DLM ELA At Target Grade 8,value,{Number},race,BlackOrAfricanAmericanAlone,schoolSubject,EnglishLanguageArts,educationalAchievementLevel,AtTarget,schoolGradeLevel,SchoolGrade8,,
% Black or African American students DLM ELA Advanced Grade 8,value,{Number},race,BlackOrAfricanAmericanAlone,schoolSubject,EnglishLanguageArts,educationalAchievementLevel,Advanced,schoolGradeLevel,SchoolGrade8,,
% Black or African American students DLM Mathematics Emerging Grade 8,value,{Number},race,BlackOrAfricanAmericanAlone,schoolSubject,Mathematics,educationalAchievementLevel,Emerging,schoolGradeLevel,SchoolGrade8,,
% Black or African American students DLM Mathematics Approaching Target Grade 8,value,{Number},race,BlackOrAfricanAmericanAlone,schoolSubject,Mathematics,educationalAchievementLevel,ApproachingTarget,schoolGradeLevel,SchoolGrade8,,
% Black or African American students DLM Mathematics At Target Grade 8,value,{Number},race,BlackOrAfricanAmericanAlone,schoolSubject,Mathematics,educationalAchievementLevel,AtTarget,schoolGradeLevel,SchoolGrade8,,
% Black or African American students DLM Mathematics Advanced Grade 8,value,{Number},race,BlackOrAfricanAmericanAlone,schoolSubject,Mathematics,educationalAchievementLevel,Advanced,schoolGradeLevel,SchoolGrade8,,
% Black or African American students DLM Science Emerging Grade 8,value,{Number},race,BlackOrAfricanAmericanAlone,schoolSubject,Science,educationalAchievementLevel,Emerging,schoolGradeLevel,SchoolGrade8,,
% Black or African American students DLM Science Approaching Target Grade 8,value,{Number},race,BlackOrAfricanAmericanAlone,schoolSubject,Science,educationalAchievementLevel,ApproachingTarget,schoolGradeLevel,SchoolGrade8,,
% Black or African American students DLM Science At Target Grade 8,value,{Number},race,BlackOrAfricanAmericanAlone,schoolSubject,Science,educationalAchievementLevel,AtTarget,schoolGradeLevel,SchoolGrade8,,
% Black or African American students DLM Science Advanced Grade 8,value,{Number},race,BlackOrAfricanAmericanAlone,schoolSubject,Science,educationalAchievementLevel,Advanced,schoolGradeLevel,SchoolGrade8,,
% Hispanic or Latino students DLM ELA Emerging Grade 8,value,{Number},ethnicity,HispanicOrLatino,schoolSubject,EnglishLanguageArts,educationalAchievementLevel,Emerging,schoolGradeLevel,SchoolGrade8,,
% Hispanic or Latino students DLM ELA Approaching Target Grade 8,value,{Number},ethnicity,HispanicOrLatino,schoolSubject,EnglishLanguageArts,educationalAchievementLevel,ApproachingTarget,schoolGradeLevel,SchoolGrade8,,
% Hispanic or Latino students DLM ELA At Target Grade 8,value,{Number},ethnicity,HispanicOrLatino,schoolSubject,EnglishLanguageArts,educationalAchievementLevel,AtTarget,schoolGradeLevel,SchoolGrade8,,
% Hispanic or Latino students DLM ELA Advanced Grade 8,value,{Number},ethnicity,HispanicOrLatino,schoolSubject,EnglishLanguageArts,educationalAchievementLevel,Advanced,schoolGradeLevel,SchoolGrade8,,
% Hispanic or Latino students DLM Mathematics Emerging Grade 8,value,{Number},ethnicity,HispanicOrLatino,schoolSubject,Mathematics,educationalAchievementLevel,Emerging,schoolGradeLevel,SchoolGrade8,,
% Hispanic or Latino students DLM Mathematics Approaching Target Grade 8,value,{Number},ethnicity,HispanicOrLatino,schoolSubject,Mathematics,educationalAchievementLevel,ApproachingTarget,schoolGradeLevel,SchoolGrade8,,
% Hispanic or Latino students DLM Mathematics At Target Grade 8,value,{Number},ethnicity,HispanicOrLatino,schoolSubject,Mathematics,educationalAchievementLevel,AtTarget,schoolGradeLevel,SchoolGrade8,,
% Hispanic or Latino students DLM Mathematics Advanced Grade 8,value,{Number},ethnicity,HispanicOrLatino,schoolSubject,Mathematics,educationalAchievementLevel,Advanced,schoolGradeLevel,SchoolGrade8,,
% Hispanic or Latino students DLM Science Emerging Grade 8,value,{Number},ethnicity,HispanicOrLatino,schoolSubject,Science,educationalAchievementLevel,Emerging,schoolGradeLevel,SchoolGrade8,,
% Hispanic or Latino students DLM Science Approaching Target Grade 8,value,{Number},ethnicity,HispanicOrLatino,schoolSubject,Science,educationalAchievementLevel,ApproachingTarget,schoolGradeLevel,SchoolGrade8,,
% Hispanic or Latino students DLM Science At Target Grade 8,value,{Number},ethnicity,HispanicOrLatino,schoolSubject,Science,educationalAchievementLevel,AtTarget,schoolGradeLevel,SchoolGrade8,,
% Hispanic or Latino students DLM Science Advanced Grade 8,value,{Number},ethnicity,HispanicOrLatino,schoolSubject,Science,educationalAchievementLevel,Advanced,schoolGradeLevel,SchoolGrade8,,
% Asian students DLM ELA Emerging Grade 8,value,{Number},race,Asian,schoolSubject,EnglishLanguageArts,educationalAchievementLevel,Emerging,schoolGradeLevel,SchoolGrade8,,
% Asian students DLM ELA Approaching Target Grade 8,value,{Number},race,Asian,schoolSubject,EnglishLanguageArts,educationalAchievementLevel,ApproachingTarget,schoolGradeLevel,SchoolGrade8,,
% Asian students DLM ELA At Target Grade 8,value,{Number},race,Asian,schoolSubject,EnglishLanguageArts,educationalAchievementLevel,AtTarget,schoolGradeLevel,SchoolGrade8,,
% Asian students DLM ELA Advanced Grade 8,value,{Number},race,Asian,schoolSubject,EnglishLanguageArts,educationalAchievementLevel,Advanced,schoolGradeLevel,SchoolGrade8,,
% Asian students DLM Mathematics Emerging Grade 8,value,{Number},race,Asian,schoolSubject,Mathematics,educationalAchievementLevel,Emerging,schoolGradeLevel,SchoolGrade8,,
% Asian students DLM Mathematics Approaching Target Grade 8,value,{Number},race,Asian,schoolSubject,Mathematics,educationalAchievementLevel,ApproachingTarget,schoolGradeLevel,SchoolGrade8,,
% Asian students DLM Mathematics At Target Grade 8,value,{Number},race,Asian,schoolSubject,Mathematics,educationalAchievementLevel,AtTarget,schoolGradeLevel,SchoolGrade8,,
% Asian students DLM Mathematics Advanced Grade 8,value,{Number},race,Asian,schoolSubject,Mathematics,educationalAchievementLevel,Advanced,schoolGradeLevel,SchoolGrade8,,
% Asian students DLM Science Emerging Grade 8,value,{Number},race,Asian,schoolSubject,Science,educationalAchievementLevel,Emerging,schoolGradeLevel,SchoolGrade8,,
% Asian students DLM Science Approaching Target Grade 8,value,{Number},race,Asian,schoolSubject,Science,educationalAchievementLevel,ApproachingTarget,schoolGradeLevel,SchoolGrade8,,
% Asian students DLM Science At Target Grade 8,value,{Number},race,Asian,schoolSubject,Science,educationalAchievementLevel,AtTarget,schoolGradeLevel,SchoolGrade8,,
% Asian students DLM Science Advanced Grade 8,value,{Number},race,Asian,schoolSubject,Science,educationalAchievementLevel,Advanced,schoolGradeLevel,SchoolGrade8,,
% Native Hawaiian or Other Pacific Islander students DLM ELA Emerging Grade 8,value,{Number},race,NativeHawaiianOrOtherPacificIslanderAlone,schoolSubject,EnglishLanguageArts,educationalAchievementLevel,Emerging,schoolGradeLevel,SchoolGrade8,,
% Native Hawaiian or Other Pacific Islander students DLM ELA Approaching Target Grade 8,value,{Number},race,NativeHawaiianOrOtherPacificIslanderAlone,schoolSubject,EnglishLanguageArts,educationalAchievementLevel,ApproachingTarget,schoolGradeLevel,SchoolGrade8,,
% Native Hawaiian or Other Pacific Islander students DLM ELA At Target Grade 8,value,{Number},race,NativeHawaiianOrOtherPacificIslanderAlone,schoolSubject,EnglishLanguageArts,educationalAchievementLevel,AtTarget,schoolGradeLevel,SchoolGrade8,,
% Native Hawaiian or Other Pacific Islander students DLM ELA Advanced Grade 8,value,{Number},race,NativeHawaiianOrOtherPacificIslanderAlone,schoolSubject,EnglishLanguageArts,educationalAchievementLevel,Advanced,schoolGradeLevel,SchoolGrade8,,
% Native Hawaiian or Other Pacific Islander students DLM Mathematics Emerging Grade 8,value,{Number},race,NativeHawaiianOrOtherPacificIslanderAlone,schoolSubject,Mathematics,educationalAchievementLevel,Emerging,schoolGradeLevel,SchoolGrade8,,
% Native Hawaiian or Other Pacific Islander students DLM Mathematics Approaching Target Grade 8,value,{Number},race,NativeHawaiianOrOtherPacificIslanderAlone,schoolSubject,Mathematics,educationalAchievementLevel,ApproachingTarget,schoolGradeLevel,SchoolGrade8,,
% Native Hawaiian or Other Pacific Islander students DLM Mathematics At Target Grade 8,value,{Number},race,NativeHawaiianOrOtherPacificIslanderAlone,schoolSubject,Mathematics,educationalAchievementLevel,AtTarget,schoolGradeLevel,SchoolGrade8,,
% Native Hawaiian or Other Pacific Islander students DLM Mathematics Advanced Grade 8,value,{Number},race,NativeHawaiianOrOtherPacificIslanderAlone,schoolSubject,Mathematics,educationalAchievementLevel,Advanced,schoolGradeLevel,SchoolGrade8,,
% Native Hawaiian or Other Pacific Islander students DLM Science Emerging Grade 8,value,{Number},race,NativeHawaiianOrOtherPacificIslanderAlone,schoolSubject,Science,educationalAchievementLevel,Emerging,schoolGradeLevel,SchoolGrade8,,
% Native Hawaiian or Other Pacific Islander students DLM Science Approaching Target Grade 8,value,{Number},race,NativeHawaiianOrOtherPacificIslanderAlone,schoolSubject,Science,educationalAchievementLevel,ApproachingTarget,schoolGradeLevel,SchoolGrade8,,
% Native Hawaiian or Other Pacific Islander students DLM Science At Target Grade 8,value,{Number},race,NativeHawaiianOrOtherPacificIslanderAlone,schoolSubject,Science,educationalAchievementLevel,AtTarget,schoolGradeLevel,SchoolGrade8,,
% Native Hawaiian or Other Pacific Islander students DLM Science Advanced Grade 8,value,{Number},race,NativeHawaiianOrOtherPacificIslanderAlone,schoolSubject,Science,educationalAchievementLevel,Advanced,schoolGradeLevel,SchoolGrade8,,
% American Indian or Alaska Native students DLM ELA Emerging Grade 8,value,{Number},race,AmericanIndianAndAlaskaNativeAlone,schoolSubject,EnglishLanguageArts,educationalAchievementLevel,Emerging,schoolGradeLevel,SchoolGrade8,,
% American Indian or Alaska Native students DLM ELA Approaching Target Grade 8,value,{Number},race,AmericanIndianAndAlaskaNativeAlone,schoolSubject,EnglishLanguageArts,educationalAchievementLevel,ApproachingTarget,schoolGradeLevel,SchoolGrade8,,
% American Indian or Alaska Native students DLM ELA At Target Grade 8,value,{Number},race,AmericanIndianAndAlaskaNativeAlone,schoolSubject,EnglishLanguageArts,educationalAchievementLevel,AtTarget,schoolGradeLevel,SchoolGrade8,,
% American Indian or Alaska Native students DLM ELA Advanced Grade 8,value,{Number},race,AmericanIndianAndAlaskaNativeAlone,schoolSubject,EnglishLanguageArts,educationalAchievementLevel,Advanced,schoolGradeLevel,SchoolGrade8,,
% American Indian or Alaska Native students DLM Mathematics Emerging Grade 8,value,{Number},race,AmericanIndianAndAlaskaNativeAlone,schoolSubject,Mathematics,educationalAchievementLevel,Emerging,schoolGradeLevel,SchoolGrade8,,
% American Indian or Alaska Native students DLM Mathematics Approaching Target Grade 8,value,{Number},race,AmericanIndianAndAlaskaNativeAlone,schoolSubject,Mathematics,educationalAchievementLevel,ApproachingTarget,schoolGradeLevel,SchoolGrade8,,
% American Indian or Alaska Native students DLM Mathematics At Target Grade 8,value,{Number},race,AmericanIndianAndAlaskaNativeAlone,schoolSubject,Mathematics,educationalAchievementLevel,AtTarget,schoolGradeLevel,SchoolGrade8,,
% American Indian or Alaska Native students DLM Mathematics Advanced Grade 8,value,{Number},race,AmericanIndianAndAlaskaNativeAlone,schoolSubject,Mathematics,educationalAchievementLevel,Advanced,schoolGradeLevel,SchoolGrade8,,
% American Indian or Alaska Native students DLM Science Emerging Grade 8,value,{Number},race,AmericanIndianAndAlaskaNativeAlone,schoolSubject,Science,educationalAchievementLevel,Emerging,schoolGradeLevel,SchoolGrade8,,
% American Indian or Alaska Native students DLM Science Approaching Target Grade 8,value,{Number},race,AmericanIndianAndAlaskaNativeAlone,schoolSubject,Science,educationalAchievementLevel,ApproachingTarget,schoolGradeLevel,SchoolGrade8,,
% American Indian or Alaska Native students DLM Science At Target Grade 8,value,{Number},race,AmericanIndianAndAlaskaNativeAlone,schoolSubject,Science,educationalAchievementLevel,AtTarget,schoolGradeLevel,SchoolGrade8,,
% American Indian or Alaska Native students DLM Science Advanced Grade 8,value,{Number},race,AmericanIndianAndAlaskaNativeAlone,schoolSubject,Science,educationalAchievementLevel,Advanced,schoolGradeLevel,SchoolGrade8,,
% Two or More Race students DLM ELA Emerging Grade 8,value,{Number},race,TwoOrMoreRaces,schoolSubject,EnglishLanguageArts,educationalAchievementLevel,Emerging,schoolGradeLevel,SchoolGrade8,,
% Two or More Race students DLM ELA Approaching Target Grade 8,value,{Number},race,TwoOrMoreRaces,schoolSubject,EnglishLanguageArts,educationalAchievementLevel,ApproachingTarget,schoolGradeLevel,SchoolGrade8,,
% Two or More Race students DLM ELA At Target Grade 8,value,{Number},race,TwoOrMoreRaces,schoolSubject,EnglishLanguageArts,educationalAchievementLevel,AtTarget,schoolGradeLevel,SchoolGrade8,,
% Two or More Race students DLM ELA Advanced Grade 8,value,{Number},race,TwoOrMoreRaces,schoolSubject,EnglishLanguageArts,educationalAchievementLevel,Advanced,schoolGradeLevel,SchoolGrade8,,
% Two or More Race students DLM Mathematics Emerging Grade 8,value,{Number},race,TwoOrMoreRaces,schoolSubject,Mathematics,educationalAchievementLevel,Emerging,schoolGradeLevel,SchoolGrade8,,
% Two or More Race students DLM Mathematics Approaching Target Grade 8,value,{Number},race,TwoOrMoreRaces,schoolSubject,Mathematics,educationalAchievementLevel,ApproachingTarget,schoolGradeLevel,SchoolGrade8,,
% Two or More Race students DLM Mathematics At Target Grade 8,value,{Number},race,TwoOrMoreRaces,schoolSubject,Mathematics,educationalAchievementLevel,AtTarget,schoolGradeLevel,SchoolGrade8,,
% Two or More Race students DLM Mathematics Advanced Grade 8,value,{Number},race,TwoOrMoreRaces,schoolSubject,Mathematics,educationalAchievementLevel,Advanced,schoolGradeLevel,SchoolGrade8,,
% Two or More Races students DLM Science Emerging Grade 8,value,{Number},race,TwoOrMoreRaces,schoolSubject,Science,educationalAchievementLevel,Emerging,schoolGradeLevel,SchoolGrade8,,
% Two or More Races students DLM Science Approaching Target Grade 8,value,{Number},race,TwoOrMoreRaces,schoolSubject,Science,educationalAchievementLevel,ApproachingTarget,schoolGradeLevel,SchoolGrade8,,
% Two or More Races students DLM Science At Target Grade 8,value,{Number},race,TwoOrMoreRaces,schoolSubject,Science,educationalAchievementLevel,AtTarget,schoolGradeLevel,SchoolGrade8,,
% Two or More Races students DLM Science Advanced Grade 8,value,{Number},race,TwoOrMoreRaces,schoolSubject,Science,educationalAchievementLevel,Advanced,schoolGradeLevel,SchoolGrade8,,
% Children with Disabilities students DLM ELA Emerging Grade 8,value,{Number},disabilityStatus,WithDisability,schoolSubject,EnglishLanguageArts,educationalAchievementLevel,Emerging,schoolGradeLevel,SchoolGrade8,,
% Children with Disabilities students DLM ELA Approaching Target Grade 8,value,{Number},disabilityStatus,WithDisability,schoolSubject,EnglishLanguageArts,educationalAchievementLevel,ApproachingTarget,schoolGradeLevel,SchoolGrade8,,
% Children with Disabilities students DLM ELA At Target Grade 8,value,{Number},disabilityStatus,WithDisability,schoolSubject,EnglishLanguageArts,educationalAchievementLevel,AtTarget,schoolGradeLevel,SchoolGrade8,,
% Children with Disabilities students DLM ELA Advanced Grade 8,value,{Number},disabilityStatus,WithDisability,schoolSubject,EnglishLanguageArts,educationalAchievementLevel,Advanced,schoolGradeLevel,SchoolGrade8,,
% Children with Disabilities students DLM Mathematics Emerging Grade 8,value,{Number},disabilityStatus,WithDisability,schoolSubject,Mathematics,educationalAchievementLevel,Emerging,schoolGradeLevel,SchoolGrade8,,
% Children with Disabilities students DLM Mathematics Approaching Target Grade 8,value,{Number},disabilityStatus,WithDisability,schoolSubject,Mathematics,educationalAchievementLevel,ApproachingTarget,schoolGradeLevel,SchoolGrade8,,
% Children with Disabilities students DLM Mathematics At Target Grade 8,value,{Number},disabilityStatus,WithDisability,schoolSubject,Mathematics,educationalAchievementLevel,AtTarget,schoolGradeLevel,SchoolGrade8,,
% Children with Disabilities students DLM Mathematics Advanced Grade 8,value,{Number},disabilityStatus,WithDisability,schoolSubject,Mathematics,educationalAchievementLevel,Advanced,schoolGradeLevel,SchoolGrade8,,
% Children with Disabilities students DLM Science Emerging Grade 8,value,{Number},disabilityStatus,WithDisability,schoolSubject,Science,educationalAchievementLevel,Emerging,schoolGradeLevel,SchoolGrade8,,
% Children with Disabilities students DLM Science Approaching Target Grade 8,value,{Number},disabilityStatus,WithDisability,schoolSubject,Science,educationalAchievementLevel,ApproachingTarget,schoolGradeLevel,SchoolGrade8,,
% Children with Disabilities students DLM Science At Target Grade 8,value,{Number},disabilityStatus,WithDisability,schoolSubject,Science,educationalAchievementLevel,AtTarget,schoolGradeLevel,SchoolGrade8,,
% Children with Disabilities students DLM Science Advanced Grade 8,value,{Number},disabilityStatus,WithDisability,schoolSubject,Science,educationalAchievementLevel,Advanced,schoolGradeLevel,SchoolGrade8,,
% EL students DLM ELA Emerging Grade 8,value,{Number},languageLearned,EnglishLearner,schoolSubject,EnglishLanguageArts,educationalAchievementLevel,Emerging,schoolGradeLevel,SchoolGrade8,,
% EL students DLM ELA Approaching Target Grade 8,value,{Number},languageLearned,EnglishLearner,schoolSubject,EnglishLanguageArts,educationalAchievementLevel,ApproachingTarget,schoolGradeLevel,SchoolGrade8,,
% EL students DLM ELA At Target Grade 8,value,{Number},languageLearned,EnglishLearner,schoolSubject,EnglishLanguageArts,educationalAchievementLevel,AtTarget,schoolGradeLevel,SchoolGrade8,,
% EL students DLM ELA Advanced Grade 8,value,{Number},languageLearned,EnglishLearner,schoolSubject,EnglishLanguageArts,educationalAchievementLevel,Advanced,schoolGradeLevel,SchoolGrade8,,
% EL students DLM Mathematics Emerging Grade 8,value,{Number},languageLearned,EnglishLearner,schoolSubject,Mathematics,educationalAchievementLevel,Emerging,schoolGradeLevel,SchoolGrade8,,
% EL students DLM Mathematics Approaching Target Grade 8,value,{Number},languageLearned,EnglishLearner,schoolSubject,Mathematics,educationalAchievementLevel,ApproachingTarget,schoolGradeLevel,SchoolGrade8,,
% EL students DLM Mathematics At Target Grade 8,value,{Number},languageLearned,EnglishLearner,schoolSubject,Mathematics,educationalAchievementLevel,AtTarget,schoolGradeLevel,SchoolGrade8,,
